Place of residence,Place of Work,Number of Persons
Central and Western,Central and Western,48647
Wan Chai,Central and Western,19244
Eastern,Central and Western,42452
Southern,Central and Western,24074
Yau Tsim Mong,Central and Western,20439
Sham Shui Po,Central and Western,17157
Kowloon City,Central and Western,18213
Wong Tai Sin,Central and Western,13289
Kwun Tong,Central and Western,22096
Kwai Tsing,Central and Western,15852
Tsuen Wan,Central and Western,12593
Tuen Mun,Central and Western,12330
Yuen Long,Central and Western,16149
North,Central and Western,5551
Tai Po,Central and Western,7775
Sha Tin,Central and Western,19657
Sai Kung,Central and Western,21542
Islands,Central and Western,9399
Central and Western,Wan Chai,12938
Wan Chai,Wan Chai,21861
Eastern,Wan Chai,37655
Southern,Wan Chai,16625
Yau Tsim Mong,Wan Chai,11265
Sham Shui Po,Wan Chai,12851
Kowloon City,Wan Chai,13563
Wong Tai Sin,Wan Chai,11885
Kwun Tong,Wan Chai,22361
Kwai Tsing,Wan Chai,12691
Tsuen Wan,Wan Chai,8762
Tuen Mun,Wan Chai,9561
Yuen Long,Wan Chai,11223
North,Wan Chai,5128
Tai Po,Wan Chai,6256
Sha Tin,Wan Chai,17519
Sai Kung,Wan Chai,18120
Islands,Wan Chai,4605
Central and Western,Eastern,8161
Wan Chai,Eastern,8735
Eastern,Eastern,65803
Southern,Eastern,8887
Yau Tsim Mong,Eastern,5913
Sham Shui Po,Eastern,7353
Kowloon City,Eastern,8566
Wong Tai Sin,Eastern,8829
Kwun Tong,Eastern,19359
Kwai Tsing,Eastern,6468
Tsuen Wan,Eastern,4914
Tuen Mun,Eastern,4998
Yuen Long,Eastern,5862
North,Eastern,3033
Tai Po,Eastern,3783
Sha Tin,Eastern,11583
Sai Kung,Eastern,19077
Islands,Eastern,2546
Central and Western,Southern,4793
Wan Chai,Southern,2503
Eastern,Southern,8398
Southern,Southern,28882
Yau Tsim Mong,Southern,2673
Sham Shui Po,Southern,2539
Kowloon City,Southern,2876
Wong Tai Sin,Southern,2190
Kwun Tong,Southern,4094
Kwai Tsing,Southern,2282
Tsuen Wan,Southern,1628
Tuen Mun,Southern,1569
Yuen Long,Southern,2216
North,Southern,704
Tai Po,Southern,829
Sha Tin,Southern,2626
Sai Kung,Southern,2736
Islands,Southern,940
Central and Western,Yau Tsim Mong,7692
Wan Chai,Yau Tsim Mong,5537
Eastern,Yau Tsim Mong,17009
Southern,Yau Tsim Mong,7317
Yau Tsim Mong,Yau Tsim Mong,47903
Sham Shui Po,Yau Tsim Mong,27228
Kowloon City,Yau Tsim Mong,29110
Wong Tai Sin,Yau Tsim Mong,25749
Kwun Tong,Yau Tsim Mong,32098
Kwai Tsing,Yau Tsim Mong,23605
Tsuen Wan,Yau Tsim Mong,13674
Tuen Mun,Yau Tsim Mong,17327
Yuen Long,Yau Tsim Mong,21404
North,Yau Tsim Mong,12006
Tai Po,Yau Tsim Mong,12856
Sha Tin,Yau Tsim Mong,33266
Sai Kung,Yau Tsim Mong,20058
Islands,Yau Tsim Mong,4611
Central and Western,Sham Shui Po,2274
Wan Chai,Sham Shui Po,1708
Eastern,Sham Shui Po,5627
Southern,Sham Shui Po,2145
Yau Tsim Mong,Sham Shui Po,7372
Sham Shui Po,Sham Shui Po,34057
Kowloon City,Sham Shui Po,8386
Wong Tai Sin,Sham Shui Po,10458
Kwun Tong,Sham Shui Po,11870
Kwai Tsing,Sham Shui Po,16369
Tsuen Wan,Sham Shui Po,9006
Tuen Mun,Sham Shui Po,10545
Yuen Long,Sham Shui Po,10771
North,Sham Shui Po,4566
Tai Po,Sham Shui Po,5040
Sha Tin,Sham Shui Po,13541
Sai Kung,Sham Shui Po,7559
Islands,Sham Shui Po,1940
Central and Western,Kowloon City,1945
