place_of_residence,place_of_work,N_workers,place_of_residence_chi,place_of_work_chi
Central and Western,Central and Western,48647,中西區,中西區
Wan Chai,Central and Western,19244,灣仔,中西區
Eastern,Central and Western,42452,東區,中西區
Southern,Central and Western,24074,南區,中西區
Yau Tsim Mong,Central and Western,20439,油尖旺,中西區
Sham Shui Po,Central and Western,17157,深水埗,中西區
Kowloon City,Central and Western,18213,九龍城,中西區
Wong Tai Sin,Central and Western,13289,黃大仙,中西區
Kwun Tong,Central and Western,22096,觀塘,中西區
Kwai Tsing,Central and Western,15852,葵青,中西區
Tsuen Wan,Central and Western,12593,荃灣,中西區
Tuen Mun,Central and Western,12330,屯門,中西區
Yuen Long,Central and Western,16149,元朗,中西區
North,Central and Western,5551,北區,中西區
Tai Po,Central and Western,7775,大埔,中西區
Sha Tin,Central and Western,19657,沙田,中西區
Sai Kung,Central and Western,21542,西貢,中西區
Islands,Central and Western,9399,離島,中西區
Central and Western,Wan Chai,12938,中西區,灣仔
Wan Chai,Wan Chai,21861,灣仔,灣仔
Eastern,Wan Chai,37655,東區,灣仔
Southern,Wan Chai,16625,南區,灣仔
Yau Tsim Mong,Wan Chai,11265,油尖旺,灣仔
Sham Shui Po,Wan Chai,12851,深水埗,灣仔
Kowloon City,Wan Chai,13563,九龍城,灣仔
Wong Tai Sin,Wan Chai,11885,黃大仙,灣仔
Kwun Tong,Wan Chai,22361,觀塘,灣仔
Kwai Tsing,Wan Chai,12691,葵青,灣仔
Tsuen Wan,Wan Chai,8762,荃灣,灣仔
Tuen Mun,Wan Chai,9561,屯門,灣仔
Yuen Long,Wan Chai,11223,元朗,灣仔
North,Wan Chai,5128,北區,灣仔
Tai Po,Wan Chai,6256,大埔,灣仔
Sha Tin,Wan Chai,17519,沙田,灣仔
Sai Kung,Wan Chai,18120,西貢,灣仔
Islands,Wan Chai,4605,離島,灣仔
Central and Western,Eastern,8161,中西區,東區
Wan Chai,Eastern,8735,灣仔,東區
Eastern,Eastern,65803,東區,東區
Southern,Eastern,8887,南區,東區
Yau Tsim Mong,Eastern,5913,油尖旺,東區
Sham Shui Po,Eastern,7353,深水埗,東區
Kowloon City,Eastern,8566,九龍城,東區
Wong Tai Sin,Eastern,8829,黃大仙,東區
Kwun Tong,Eastern,19359,觀塘,東區
Kwai Tsing,Eastern,6468,葵青,東區
Tsuen Wan,Eastern,4914,荃灣,東區
Tuen Mun,Eastern,4998,屯門,東區
Yuen Long,Eastern,5862,元朗,東區
North,Eastern,3033,北區,東區
Tai Po,Eastern,3783,大埔,東區
Sha Tin,Eastern,11583,沙田,東區
Sai Kung,Eastern,19077,西貢,東區
Islands,Eastern,2546,離島,東區
Central and Western,Southern,4793,中西區,南區
Wan Chai,Southern,2503,灣仔,南區
Eastern,Southern,8398,東區,南區
Southern,Southern,28882,南區,南區
Yau Tsim Mong,Southern,2673,油尖旺,南區
Sham Shui Po,Southern,2539,深水埗,南區
Kowloon City,Southern,2876,九龍城,南區
Wong Tai Sin,Southern,2190,黃大仙,南區
Kwun Tong,Southern,4094,觀塘,南區
Kwai Tsing,Southern,2282,葵青,南區
Tsuen Wan,Southern,1628,荃灣,南區
Tuen Mun,Southern,1569,屯門,南區
Yuen Long,Southern,2216,元朗,南區
North,Southern,704,北區,南區
Tai Po,Southern,829,大埔,南區
Sha Tin,Southern,2626,沙田,南區
Sai Kung,Southern,2736,西貢,南區
Islands,Southern,940,離島,南區
Central and Western,Yau Tsim Mong,7692,中西區,油尖旺
Wan Chai,Yau Tsim Mong,5537,灣仔,油尖旺
Eastern,Yau Tsim Mong,17009,東區,油尖旺
Southern,Yau Tsim Mong,7317,南區,油尖旺
Yau Tsim Mong,Yau Tsim Mong,47903,油尖旺,油尖旺
Sham Shui Po,Yau Tsim Mong,27228,深水埗,油尖旺
Kowloon City,Yau Tsim Mong,29110,九龍城,油尖旺
Wong Tai Sin,Yau Tsim Mong,25749,黃大仙,油尖旺
Kwun Tong,Yau Tsim Mong,32098,觀塘,油尖旺
Kwai Tsing,Yau Tsim Mong,23605,葵青,油尖旺
Tsuen Wan,Yau Tsim Mong,13674,荃灣,油尖旺
Tuen Mun,Yau Tsim Mong,17327,屯門,油尖旺
Yuen Long,Yau Tsim Mong,21404,元朗,油尖旺
North,Yau Tsim Mong,12006,北區,油尖旺
Tai Po,Yau Tsim Mong,12856,大埔,油尖旺
Sha Tin,Yau Tsim Mong,33266,沙田,油尖旺
Sai Kung,Yau Tsim Mong,20058,西貢,油尖旺
Islands,Yau Tsim Mong,4611,離島,油尖旺
Central and Western,Sham Shui Po,2274,中西區,深水埗
Wan Chai,Sham Shui Po,1708,灣仔,深水埗
Eastern,Sham Shui Po,5627,東區,深水埗
Southern,Sham Shui Po,2145,南區,深水埗
Yau Tsim Mong,Sham Shui Po,7372,油尖旺,深水埗
Sham Shui Po,Sham Shui Po,34057,深水埗,深水埗
Kowloon City,Sham Shui Po,8386,九龍城,深水埗
Wong Tai Sin,Sham Shui Po,10458,黃大仙,深水埗
Kwun Tong,Sham Shui Po,11870,觀塘,深水埗
Kwai Tsing,Sham Shui Po,16369,葵青,深水埗
Tsuen Wan,Sham Shui Po,9006,荃灣,深水埗
Tuen Mun,Sham Shui Po,10545,屯門,深水埗
Yuen Long,Sham Shui Po,10771,元朗,深水埗
North,Sham Shui Po,4566,北區,深水埗
Tai Po,Sham Shui Po,5040,大埔,深水埗
Sha Tin,Sham Shui Po,13541,沙田,深水埗
Sai Kung,Sham Shui Po,7559,西貢,深水埗
Islands,Sham Shui Po,1940,離島,深水埗
Central and Western,Kowloon City,1945,中西區,九龍城
Wan Chai,Kowloon City,1898,灣仔,九龍城
Eastern,Kowloon City,5565,東區,九龍城
Southern,Kowloon City,2528,南區,九龍城
Yau Tsim Mong,Kowloon City,7009,油尖旺,九龍城
Sham Shui Po,Kowloon City,7683,深水埗,九龍城
Kowloon City,Kowloon City,32143,九龍城,九龍城
Wong Tai Sin,Kowloon City,13866,黃大仙,九龍城
Kwun Tong,Kowloon City,15832,觀塘,九龍城
Kwai Tsing,Kowloon City,7046,葵青,九龍城
Tsuen Wan,Kowloon City,4745,荃灣,九龍城
Tuen Mun,Kowloon City,4363,屯門,九龍城
Yuen Long,Kowloon City,6513,元朗,九龍城
North,Kowloon City,4238,北區,九龍城
Tai Po,Kowloon City,4799,大埔,九龍城
Sha Tin,Kowloon City,13097,沙田,九龍城
Sai Kung,Kowloon City,8654,西貢,九龍城
Islands,Kowloon City,1072,離島,九龍城
Central and Western,Wong Tai Sin,575,中西區,黃大仙
Wan Chai,Wong Tai Sin,674,灣仔,黃大仙
Eastern,Wong Tai Sin,2023,東區,黃大仙
Southern,Wong Tai Sin,399,南區,黃大仙
Yau Tsim Mong,Wong Tai Sin,1779,油尖旺,黃大仙
Sham Shui Po,Wong Tai Sin,2988,深水埗,黃大仙
Kowloon City,Wong Tai Sin,4637,九龍城,黃大仙
Wong Tai Sin,Wong Tai Sin,21938,黃大仙,黃大仙
Kwun Tong,Wong Tai Sin,9016,觀塘,黃大仙
Kwai Tsing,Wong Tai Sin,2783,葵青,黃大仙
Tsuen Wan,Wong Tai Sin,1811,荃灣,黃大仙
Tuen Mun,Wong Tai Sin,2087,屯門,黃大仙
